chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/StandardChartThemeTest.java,StandardChartThemeTest,236.0,76.0,0.3220338983050847,18.0,0.017890772128060263
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/legend/LegendGraphicTest.java,LegendGraphicTest,196.0,69.0,0.3520408163265306,26.0,0.013540031397174255
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/legend/LegendTitleTest.java,LegendTitleTest,135.0,51.0,0.37777777777777777,16.0,0.02361111111111111
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/legend/PaintScaleLegendTest.java,PaintScaleLegendTest,154.0,60.0,0.38961038961038963,17.0,0.02291825821237586
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/ChartRenderingInfoTest.java,ChartRenderingInfoTest,117.0,52.0,0.4444444444444444,19.0,0.023391812865497075
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java,DynamicDriveToolTipTagFragmentGeneratorTest,61.0,45.0,0.7377049180327869,13.0,0.056746532156368226
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java,StandardURLTagFragmentGeneratorTest,60.0,46.0,0.7666666666666667,14.0,0.05476190476190477
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java,ImageMapUtilsTest,107.0,48.0,0.4485981308411215,18.0,0.024922118380062305
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java,OverLIBToolTipTagFragmentGeneratorTest,61.0,45.0,0.7377049180327869,13.0,0.056746532156368226
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,StandardToolTipTagFragmentGeneratorTest,59.0,45.0,0.7627118644067796,13.0,0.05867014341590612
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererUtilsTest.java,RendererUtilsTest,341.0,108.0,0.31671554252199413,28.0,0.011311269375785504
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererChangeDetector.java,RendererChangeDetector,83.0,64.0,0.7710843373493976,23.0,0.03352540597171294
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java,GanttRendererTest,120.0,53.0,0.44166666666666665,17.0,0.025980392156862743
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/IntervalBarRendererTest.java,IntervalBarRendererTest,154.0,65.0,0.42207792207792205,24.0,0.017586580086580084
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StandardBarPainterTest.java,StandardBarPainterTest,87.0,51.0,0.5862068965517241,15.0,0.03908045977011494
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LayeredBarRendererTest.java,LayeredBarRendererTest,136.0,61.0,0.4485294117647059,22.0,0.02038770053475936
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/WaterfallBarRendererTest.java,WaterfallBarRendererTest,172.0,100.0,0.5813953488372093,31.0,0.018754688672168042
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/ScatterRendererTest.java,ScatterRendererTest,183.0,68.0,0.37158469945355194,26.0,0.014291719209751998
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java,GroupedStackedBarRendererTest,158.0,62.0,0.3924050632911392,23.0,0.0170610897083104
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRendererTest.java,StatisticalLineAndShapeRendererTest,176.0,68.0,0.38636363636363635,26.0,0.01486013986013986
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalBarRendererTest.java,StatisticalBarRendererTest,258.0,89.0,0.3449612403100775,36.0,0.009582256675279932
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StackedBarRendererTest.java,StackedBarRendererTest,125.0,57.0,0.456,19.0,0.024
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java,BoxAndWhiskerRendererTest,494.0,107.0,0.2165991902834008,55.0,0.003938167096061832
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,MinMaxCategoryRendererTest,142.0,60.0,0.4225352112676056,22.0,0.019206145966709345
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/AreaRendererTest.java,AreaRendererTest,138.0,58.0,0.42028985507246375,19.0,0.022120518688024407
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GradientBarPainterTest.java,GradientBarPainterTest,97.0,51.0,0.5257731958762887,15.0,0.03505154639175258
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/CategoryStepRendererTest.java,CategoryStepRendererTest,119.0,57.0,0.4789915966386555,20.0,0.023949579831932775
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StackedAreaRendererTest.java,StackedAreaRendererTest,124.0,57.0,0.4596774193548387,19.0,0.024193548387096774
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/DefaultCategoryItemRendererTest.java,DefaultCategoryItemRendererTest,97.0,53.0,0.5463917525773195,17.0,0.03214069132807762
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LevelRendererTest.java,LevelRendererTest,181.0,74.0,0.4088397790055249,26.0,0.01572460688482788
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LineAndShapeRendererTest.java,LineAndShapeRendererTest,250.0,73.0,0.292,36.0,0.00811111111111111
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BarRendererTest.java,BarRendererTest,264.0,81.0,0.3068181818181818,35.0,0.008766233766233766
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,AbstractCategoryItemRendererTest,295.0,86.0,0.29152542372881357,40.0,0.0072881355932203394
