chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/StandardChartThemeTest.java,StandardChartThemeTest,236.0,76.0,0.3220338983050847,18.0,4.222222222222222
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend/LegendGraphicTest.java,LegendGraphicTest,196.0,69.0,0.3520408163265306,26.0,2.6538461538461537
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend/LegendTitleTest.java,LegendTitleTest,135.0,51.0,0.37777777777777777,16.0,3.1875
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend/PaintScaleLegendTest.java,PaintScaleLegendTest,154.0,60.0,0.38961038961038963,17.0,3.5294117647058822
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/ChartRenderingInfoTest.java,ChartRenderingInfoTest,117.0,52.0,0.4444444444444444,19.0,2.736842105263158
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java,DynamicDriveToolTipTagFragmentGeneratorTest,61.0,45.0,0.7377049180327869,13.0,3.4615384615384617
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java,StandardURLTagFragmentGeneratorTest,60.0,46.0,0.7666666666666667,14.0,3.2857142857142856
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java,ImageMapUtilsTest,107.0,48.0,0.4485981308411215,18.0,2.6666666666666665
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java,OverLIBToolTipTagFragmentGeneratorTest,61.0,45.0,0.7377049180327869,13.0,3.4615384615384617
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,StandardToolTipTagFragmentGeneratorTest,59.0,45.0,0.7627118644067796,13.0,3.4615384615384617
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererUtilsTest.java,RendererUtilsTest,341.0,108.0,0.31671554252199413,28.0,3.857142857142857
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererChangeDetector.java,RendererChangeDetector,83.0,64.0,0.7710843373493976,23.0,2.782608695652174
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java,GanttRendererTest,120.0,53.0,0.44166666666666665,17.0,3.1176470588235294
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/IntervalBarRendererTest.java,IntervalBarRendererTest,154.0,65.0,0.42207792207792205,24.0,2.7083333333333335
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StandardBarPainterTest.java,StandardBarPainterTest,87.0,51.0,0.5862068965517241,15.0,3.4
