chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/test/ModeleTest.java,ModeleTest,29.0,6.0,0.20689655172413793,10.0,0.6
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/test/MenuEmployeTest.java,MenuEmployeTest,101.0,13.0,0.12871287128712872,23.0,0.5652173913043478
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/test/MenuTest.java,MenuTest,93.0,10.0,0.10752688172043011,18.0,0.5555555555555556
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/test/VueEmployeTest.java,VueEmployeTest,31.0,5.0,0.16129032258064516,6.0,0.8333333333333334
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/CodeQR.java,CodeQR,10.0,4.0,0.4,2.0,2.0
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Modele.java,Modele,308.0,115.0,0.37337662337662336,74.0,1.554054054054054
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/PreuveVaccination.java,PreuveVaccination,32.0,4.0,0.125,10.0,0.4
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/ProfilVaccination.java,ProfilVaccination,35.0,0.0,0.0,18.0,0.0
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/MenuBenevole.java,MenuBenevole,90.0,30.0,0.3333333333333333,18.0,1.6666666666666667
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Semaine.java,Semaine,45.0,3.0,0.06666666666666667,13.0,0.23076923076923078
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Menu.java,Menu,250.0,97.0,0.388,35.0,2.7714285714285714
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Employe.java,Employe,12.0,5.0,0.4166666666666667,3.0,1.6666666666666667
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/VueBenevole.java,VueBenevole,375.0,79.0,0.21066666666666667,116.0,0.6810344827586207
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Calendrier.java,Calendrier,156.0,45.0,0.28846153846153844,43.0,1.0465116279069768
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/VueEmploye.java,VueEmploye,1094.0,202.0,0.1846435100548446,444.0,0.45495495495495497
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/PlageHoraire.java,PlageHoraire,82.0,14.0,0.17073170731707318,26.0,0.5384615384615384
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Formulaire.java,Formulaire,166.0,57.0,0.3433734939759036,68.0,0.8382352941176471
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/App.java,App,50.0,13.0,0.26,23.0,0.5652173913043478
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Jour.java,Jour,84.0,36.0,0.42857142857142855,18.0,2.0
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/MenuEmploye.java,MenuEmploye,355.0,132.0,0.37183098591549296,136.0,0.9705882352941176
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Vaccin.java,Vaccin,7.0,0.0,0.0,1.0,0.0
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/RDV.java,RDV,47.0,1.0,0.02127659574468085,18.0,0.05555555555555555
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Utilisateur.java,Utilisateur,71.0,0.0,0.0,27.0,0.0
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Benevole.java,Benevole,38.0,14.0,0.3684210526315789,7.0,2.0
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src/Visiteur.java,Visiteur,97.0,4.0,0.041237113402061855,41.0,0.0975609756097561
